English,Polish
the,.
be,Być
of,z
and,I
in,W
to,Do
to,Do
for,Do
have,Posiadać
with,z
on,NA
it,To
British,brytyjski
by,przez
at,Na
from,z
that,To
an,jakiś
or,Lub
this,Ten
not,nie
you,Ty
will,będzie
do,Do
but,Ale
we,My
can,Móc
which,Który
they,Oni
their,ich
as,Jak
as,Jak
all,Wszystko
make,robić
if,Jeśli
as,Jak
also,Również
one,jeden
who,Kto
time,czas
other,Inny
take,Brać
year,rok
use,używać
he,On
there,Tam
your,twój
would,zrobiłbym
his,jego
see,Widzieć
into,do
good,Dobry
our,nasz
its,jego
about,o
out,na zewnątrz
new,nowy
any,każdy
when,Kiedy
give,dawać
go,Iść
than,niż
get,Dostawać
include,włączać
say,mowić
so,Więc
people,ludzie
some,Niektóre
these,te
over,nad
no,NIE
only,tylko
find,znajdować
now,Teraz
then,Następnie
two,dwa
well,Dobrze
what,Co
first,Pierwszy
London,Londyn
very,bardzo
way,sposób
yes,Tak
should,powinien
come,przychodzić
provide,dostarczać
after,Po
up,w górę
hundred,sto
know,wiedzieć
just,Tylko
work,praca
many,wiele
could,mógł
work,praca
my,Mój
through,Poprzez
how,Jak
day,dzień
need,potrzebować
part,część
between,między
information,Informacja
where,Gdzie
look,Patrzeć
us,nas
number,numer
here,Tutaj
before,zanim
like,tak jak
even,nawet
great,Świetnie
think,myśleć
most,bardzo
which,Który
up,w górę
help,pomoc
more,więcej
place,miejsce
so,Więc
own,własny
back,z powrotem
want,chcieć
last,ostatni
me,Ja
still,Nadal
high,wysoki
under,pod 
life,życie
same,To samo
such,taki
show,pokazywać
more,więcej
three,trzy
must,musieć
those,te
because,ponieważ
all,Wszystko
another,inny
some,Niektóre
both,Zarówno
much,dużo
leave,Zostawić
thing,rzecz
about,o
call,dzwonić
each,każdy
small,mały
problem,problem
her,jej
England,Anglia
use,używać
start,początek
put,umieścić
keep,trzymać
without,bez
too,zbyt
every,każdy
end,koniec
English,język angielski
run,uruchomić
while,chwila
home,dom
around,wokół
next,Następny
full,pełny
European,europejski
write,pisać
try,próbować
point,punkt
when,Kiedy
she,ona
hold,trzymać
child,dziecko
bring,przynieść
old,stary
important,ważny
ask,zapytać
mean,mieć na myśli
out,na zewnątrz
please,Proszę
week,tydzień
again,Ponownie
possible,możliwy
able,zdolny
tell,powiedzieć
meet,poznać
against,przeciwko
man,Człowiek
that,To
might,móc
Scotland,Szkocja
feel,czuć
always,zawsze
country,kraj
seem,wydaje się
long,długi
play,grać
month,miesiąc
why,Dlaczego
change,zmiana
need,potrzebować
Britain,Brytania
really,Naprawdę
together,razem
live,na żywo
name,nazwa
like,tak jak
book,książka
often,często
question,pytanie
never,nigdy
family,rodzina
Europe,Europa
learn,uczyć się
late,późno
change,zmiana
school,szkoła
early,wczesny
rather,raczej
read,Czytać
move,przenosić
away,z dala
line,linia
free,bezpłatny
fact,fakt
down,w dół
few,kilka
off,wyłączony
something,coś
already,już
whether,czy
right,Prawidłowy
send,wysłać
carry,nosić
idea,pomysł
other,Inny
ensure,zapewnić
these,te
hour,godzina
pay,płacić
hand,ręka
side,strona
cover,okładka
believe,uważać
across,przez
young,młody
four,cztery
Wales,Walia
one,jeden
much,dużo
once,raz
Scottish,Szkocki
turn,zakręt
those,te
let,pozwalać
both,Zarówno
word,słowo
type,typ
cost,koszt
lot,działka
second,drugi
big,duży
on,NA
special,specjalny
where,Gdzie
Internet,Internet
late,późno
expect,oczekiwać
no,NIE
apply,stosować
action,działanie
yet,już
person,osoba
easy,łatwy
reason,powód
only,tylko
ever,kiedykolwiek
today,Dzisiaj
contain,zawierać
Ireland,Irlandia
real,prawdziwy
body,ciało
publish,publikować
centre,Centrum
short,krótki
organisation,organizacja
money,pieniądze
happen,zdarzyć
hear,słyszeć
house,dom
join,dołączyć
understand,zrozumieć
grow,rosnąć
choose,wybierać
clear,jasne
decide,decydować
friend,przyjaciel
most,bardzo
most,bardzo
lose,stracić
date,data
water,woda
almost,prawie
quite,całkiem
manage,zarządzać
whole,cały
five,pięć
Jesus,Jezus
age,wiek
job,stanowisko
minute,minuta
buy,kupić
open,otwarty
spend,wydawać
top,szczyt
open,otwarty
room,pokój
currently,obecnie
night,noc
market,rynek
each,każdy
pass,przechodzić
building,budynek
matter,materiał
hope,mieć nadzieję
soon,Wkrótce
agree,zgadzać się
strong,mocny
enjoy,Cieszyć się
establish,tworzyć
towards,w kierunku
themselves,sobie
field,pole
paper,papier
especially,zwłaszcza
woman,kobieta
wish,życzenie
along,przed siebie
first,Pierwszy
until,dopóki
though,chociaż
since,od
probably,prawdopodobnie
office,biuro
bad,zły
key,klucz
speak,mówić
enable,włączać
bit,fragment
car,samochód
stage,scena
seek,szukać
price,cena
hard,twardy
party,impreza
record,nagrywać
since,od
kind,Uprzejmy
win,wygrać
addition,dodatek
head,głowa
right,Prawidłowy
perhaps,być może
user,użytkownik
difficult,trudny
nothing,Nic
stand,podstawka
fall,jesień
France,Francja
space,przestrzeń
sure,Jasne
game,gra
explain,wyjaśnić
ground,grunt
above,powyżej
serve,podawać
likely,prawdopodobnie
draw,rysować
care,opieka
actually,Właściwie
America,Ameryka
usually,zazwyczaj
anything,wszystko
place,miejsce
million,milion
American,amerykański
certain,niektórzy
remember,Pamiętać
response,odpowiedź
less,mniej
United States,Stany Zjednoczone
road,droga
little,mały
choice,wybór
amount,kwota
Christ,Chrystus
American,amerykański
among,wśród
stop,zatrzymywać się
long,długi
maintain,utrzymywać
talk,rozmawiać
music,muzyka
sell,sprzedać
six,sześć
French,Francuski
food,żywność
size,rozmiar
city,miasto
news,Aktualności
mind,umysł
anyone,ktokolwiek
per,za
situation,sytuacja
third,trzeci
sense,sens
Christmas,Boże Narodzenie
significant,istotne
someone,ktoś
break,przerwa
story,fabuła
difference,różnica
